stateCode,reportDate,source,cases,deaths,population_number,population_density
DE-BW,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),237,0,10880000,304
DE-BY,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),314,0,12844000,182
DE-BE,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),48,0,3520000,3948
DE-BB,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),9,0,2485000,84
DE-HB,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),4,0,671000,1599
DE-HH,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),29,0,1787000,2366
DE-HE,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),35,0,6176000,293
DE-MV,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),13,0,1612000,69
DE-NI,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),49,0,7927000,167
DE-NW,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),484,0,17866000,524
DE-RP,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),25,0,4053000,204
DE-SL,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),7,0,996000,388
DE-SN,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),22,0,4085000,221
DE-ST,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),7,0,2245000,110
DE-SH,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),9,0,2859000,181
DE-TH,2020-03-10,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),4,0,2171000,134
DE-BW,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),277,0,10880000,304
DE-BY,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),366,0,12844000,182
DE-BE,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),90,0,3520000,3948
DE-BB,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),24,0,2485000,84
DE-HB,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),21,0,671000,1599
DE-HH,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),48,0,1787000,2366
DE-HE,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),48,0,6176000,293
DE-MV,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),17,0,1612000,69
DE-NI,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),75,0,7927000,167
DE-NW,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),484,0,17866000,524
DE-RP,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),25,0,4053000,204
DE-SL,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),14,0,996000,388
DE-SN,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),26,0,4085000,221
DE-ST,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),15,0,2245000,110
DE-SH,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),27,0,2859000,181
DE-TH,2020-03-11,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),10,0,2171000,134
DE-BW,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),454,0,10880000,304
DE-BY,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),500,0,12844000,182
DE-BE,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),137,0,3520000,3948
DE-BB,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),30,0,2485000,84
DE-HB,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),38,0,671000,1599
DE-HH,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),88,0,1787000,2366
DE-HE,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),99,0,6176000,293
DE-MV,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),23,0,1612000,69
DE-NI,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),129,0,7927000,167
DE-NW,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),688,0,17866000,524
DE-RP,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),52,0,4053000,204
DE-SL,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),14,0,996000,388
DE-SN,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),45,0,4085000,221
DE-ST,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),27,0,2245000,110
DE-SH,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),31,0,2859000,181
DE-TH,2020-03-12,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),14,0,2171000,134
DE-BW,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),454,0,10880000,304
DE-BY,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),558,0,12844000,182
DE-BE,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),174,0,3520000,3948
DE-BB,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),44,0,2485000,84
DE-HB,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),42,0,671000,1599
DE-HH,2020-03-13,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),99,0,1787000,2366
